A,B,,C,D,E,F,G,H
1,-17.7706388318206,,0,-20.4491392774415,0,-20.4491392774415,0,-20.4491392774415
0,1E+308,,0,-20.4479620412867,0,-20.4479620412867,0,-20.4479620412867
0,-17.753931042413,,0,-20.446784805132,0,-20.446784805132,0,-20.446784805132
1,-17.753931042413,,0,-20.4456075689772,0,-20.4456075689772,0,-20.4456075689772
0,1E+308,,0,-20.4444303328225,0,-20.4444303328225,0,-20.4444303328225
0,-17.741413806049,,0,-20.4432530966677,0,-20.4432530966677,0,-20.4432530966677
1,-17.741413806049,,0,-20.442075860513,0,-20.442075860513,0,-20.442075860513
0,1E+308,,0,-20.4408986243582,0,-20.4408986243582,0,-20.4408986243582
0,-17.7387198790924,,0,-20.4397213882035,0,-20.4397213882035,0,-20.4397213882035
1,-17.7387198790924,,0,-20.4385441520487,0,-20.4385441520487,0,-20.4385441520487
0,1E+308,,0,-20.437366915894,0,-20.437366915894,0,-20.437366915894
0,-17.6894672751384,,0,-20.4361896797392,0,-20.4361896797392,0,-20.4361896797392
1,-17.6894672751384,,0,-20.4350124435845,0,-20.4350124435845,0,-20.4350124435845
0,1E+308,,0,-20.4338352074297,0,-20.4338352074297,0,-20.4338352074297
0,-17.581955099325,,0,-20.432657971275,0,-20.432657971275,0,-20.432657971275
1,-17.581955099325,,0,-20.4314807351202,0,-20.4314807351202,0,-20.4314807351202
0,1E+308,,0,-20.4303034989655,0,-20.4303034989655,0,-20.4303034989655
0,-17.5728937086528,,0,-20.4291262628107,0,-20.4291262628107,0,-20.4291262628107
1,-17.5728937086528,,0,-20.427949026656,0,-20.427949026656,0,-20.427949026656
0,1E+308,,0,-20.4267717905012,0,-20.4267717905012,0,-20.4267717905012
0,-17.5595601307868,,0,-20.4255945543465,0,-20.4255945543465,0,-20.4255945543465
1,-17.5595601307868,,0,-20.4244173181918,0,-20.4244173181918,0,-20.4244173181918
0,1E+308,,0,-20.423240082037,0,-20.423240082037,0,-20.423240082037
0,-17.5129470310226,,0,-20.4220628458823,0,-20.4220628458823,0,-20.4220628458823
1,-17.5129470310226,,0,-20.4208856097275,0,-20.4208856097275,0,-20.4208856097275
0,1E+308,,0,-20.4197083735728,0,-20.4197083735728,0,-20.4197083735728
0,-17.5103075268328,,0,-20.418531137418,0,-20.418531137418,0,-20.418531137418
1,-17.5103075268328,,0,-20.4173539012633,0,-20.4173539012633,0,-20.4173539012633
0,1E+308,,0,-20.4161766651085,0,-20.4161766651085,0,-20.4161766651085
0,-17.5055999575046,,0,-20.4149994289538,0,-20.4149994289538,0,-20.4149994289538
1,-17.5055999575046,,0,-20.413822192799,0,-20.413822192799,0,-20.413822192799
0,1E+308,,0,-20.4126449566443,0,-20.4126449566443,0,-20.4126449566443
0,-17.4847560378202,,0,-20.4114677204895,0,-20.4114677204895,0,-20.4114677204895
1,-17.4847560378202,,0,-20.4102904843348,0,-20.4102904843348,0,-20.4102904843348
0,1E+308,,0,-20.40911324818,0,-20.40911324818,0,-20.40911324818
0,-17.4487825889654,,0,-20.4079360120253,0,-20.4079360120253,0,-20.4079360120253
1,-17.4487825889654,,0,-20.4067587758705,0,-20.4067587758705,0,-20.4067587758705
0,1E+308,,0,-20.4055815397158,0,-20.4055815397158,0,-20.4055815397158
0,-17.4451362635898,,0,-20.404404303561,0,-20.404404303561,0,-20.404404303561
1,-17.4451362635898,,0,-20.4032270674063,0,-20.4032270674063,0,-20.4032270674063
0,1E+308,,0,-20.4020498312515,0,-20.4020498312515,0,-20.4020498312515
0,-17.3026846714908,,0,-20.4008725950968,0,-20.4008725950968,0,-20.4008725950968
1,-17.3026846714908,,0,-20.399695358942,0,-20.399695358942,0,-20.399695358942
0,1E+308,,0,-20.3985181227873,0,-20.3985181227873,0,-20.3985181227873
0,-17.293786549119,,0,-20.3973408866325,0,-20.3973408866325,0,-20.3973408866325
1,-17.293786549119,,0,-20.3961636504778,0,-20.3961636504778,0,-20.3961636504778
0,1E+308,,0,-20.394986414323,0,-20.394986414323,0,-20.394986414323
0,-17.2825754591582,,0,-20.3938091781683,0,-20.3938091781683,0,-20.3938091781683
1,-17.2825754591582,,0,-20.3926319420135,0,-20.3926319420135,0,-20.3926319420135
0,1E+308,,0,-20.3914547058588,0,-20.3914547058588,0,-20.3914547058588
0,-17.183172275598,,0,-20.390277469704,0,-20.390277469704,0,-20.390277469704
1,-17.183172275598,,0,-20.3891002335493,0,-20.3891002335493,0,-20.3891002335493
0,1E+308,,0,-20.3879229973945,0,-20.3879229973945,0,-20.3879229973945
0,-17.1435525013676,,0,-20.3867457612398,0,-20.3867457612398,0,-20.3867457612398
1,-17.1435525013676,,0,-20.385568525085,0,-20.385568525085,0,-20.385568525085
0,1E+308,,0,-20.3843912889303,0,-20.3843912889303,0,-20.3843912889303
0,-17.143035485083,,0,-20.3832140527755,0,-20.3832140527755,0,-20.3832140527755
1,-17.143035485083,,0,-20.3820368166208,0,-20.3820368166208,0,-20.3820368166208
0,1E+308,,0,-20.3808595804661,0,-20.3808595804661,0,-20.3808595804661
0,-17.1291032567822,,0,-20.3796823443113,0,-20.3796823443113,0,-20.3796823443113
1,-17.1291032567822,,0,-20.3785051081566,0,-20.3785051081566,0,-20.3785051081566
0,1E+308,,0,-20.3773278720018,0,-20.3773278720018,0,-20.3773278720018
0,-17.1240691508532,,0,-20.3761506358471,0,-20.3761506358471,0,-20.3761506358471
1,-17.1240691508532,,0,-20.3749733996923,0,-20.3749733996923,0,-20.3749733996923
0,1E+308,,0,-20.3737961635376,0,-20.3737961635376,0,-20.3737961635376
0,-17.1212935897464,,0,-20.3726189273828,0,-20.3726189273828,0,-20.3726189273828
1,-17.1212935897464,,0,-20.3714416912281,0,-20.3714416912281,0,-20.3714416912281
0,1E+308,,0,-20.3702644550733,0,-20.3702644550733,0,-20.3702644550733
0,-17.1193343701416,,0,-20.3690872189186,0,-20.3690872189186,0,-20.3690872189186
1,-17.1193343701416,,0,-20.3679099827638,0,-20.3679099827638,0,-20.3679099827638
0,1E+308,,0,-20.3667327466091,0,-20.3667327466091,0,-20.3667327466091
0,-17.0954427755164,,0,-20.3655555104543,0,-20.3655555104543,0,-20.3655555104543
1,-17.0954427755164,,0,-20.3643782742996,0,-20.3643782742996,0,-20.3643782742996
0,1E+308,,0,-20.3632010381448,0,-20.3632010381448,0,-20.3632010381448
0,-17.0856466774924,,0,-20.3620238019901,0,-20.3620238019901,0,-20.3620238019901
1,-17.0856466774924,,0,-20.3608465658353,0,-20.3608465658353,0,-20.3608465658353
0,1E+308,,0,-20.3596693296806,0,-20.3596693296806,0,-20.3596693296806
0,-17.004665600494,,0,-20.3584920935258,0,-20.3584920935258,0,-20.3584920935258
1,-17.004665600494,,0,-20.3573148573711,0,-20.3573148573711,0,-20.3573148573711
0,1E+308,,0,-20.3561376212163,0,-20.3561376212163,0,-20.3561376212163
0,-16.9845019653946,,0,-20.3549603850616,0,-20.3549603850616,0,-20.3549603850616
1,-16.9845019653946,,0,-20.3537831489068,0,-20.3537831489068,0,-20.3537831489068
0,1E+308,,0,-20.3526059127521,0,-20.3526059127521,0,-20.3526059127521
0,-16.9612090212042,,0,-20.3514286765974,0,-20.3514286765974,0,-20.3514286765974
1,-16.9612090212042,,0,-20.3502514404426,0,-20.3502514404426,0,-20.3502514404426
0,1E+308,,0,-20.3490742042878,0,-20.3490742042878,0,-20.3490742042878
0,-16.9219702063414,,0,-20.3478969681331,0,-20.3478969681331,0,-20.3478969681331
1,-16.9219702063414,,0,-20.3467197319783,0,-20.3467197319783,0,-20.3467197319783
0,1E+308,,0,-20.3455424958236,0,-20.3455424958236,0,-20.3455424958236
0,-16.8598466180392,,0,-20.3443652596689,0,-20.3443652596689,0,-20.3443652596689
1,-16.8598466180392,,0,-20.3431880235141,0,-20.3431880235141,0,-20.3431880235141
0,1E+308,,0,-20.3420107873594,0,-20.3420107873594,0,-20.3420107873594
0,-16.8559826015964,,0,-20.3408335512046,0,-20.3408335512046,0,-20.3408335512046
1,-16.8559826015964,,0,-20.3396563150499,0,-20.3396563150499,0,-20.3396563150499
0,1E+308,,0,-20.3384790788951,0,-20.3384790788951,0,-20.3384790788951
0,-16.8474926499756,,0,-20.3373018427404,0,-20.3373018427404,0,-20.3373018427404
1,-16.8474926499756,,0,-20.3361246065856,0,-20.3361246065856,0,-20.3361246065856
0,1E+308,,0,-20.3349473704309,0,-20.3349473704309,0,-20.3349473704309
